Hotel Name,Location,Amenities,Distance from City Center (km),Type of Room,Hotel Star Rating,Customer Rating,Check-in Time,Check-out Time,Day of the Week,Is Public Holiday,Is Tourism Zone,Google Trends Score,Hotel Price (INR)
Hotel Sapphire 13,Jaipur,"Gym, Pet Friendly, Business Center, Free WiFi, Restaurant",13.22,Deluxe,2,3.2,11:00 AM,2:00 PM,Tuesday,1,0,32,2419
Hotel Sapphire 92,Hyderabad,"Restaurant, Pool, Airport Shuttle",8.47,Deluxe,3,4.0,1:00 PM,1:00 PM,Friday,1,1,54,3670
Hotel Moonlight 87,Goa,"Free WiFi, Restaurant, Airport Shuttle, Business Center, Spa",4.55,Presidential Suite,3,4.2,1:00 PM,12:00 PM,Saturday,0,0,69,3705
Hotel Crimson 79,Goa,"Spa, Airport Shuttle, Pool",17.56,Deluxe,3,4.9,11:00 AM,2:00 PM,Thursday,1,1,84,3730
Hotel Metro 77,Pune,"Parking, Bar, Free WiFi, Gym",21.92,Standard,2,4.1,12:00 PM,2:00 PM,Wednesday,1,1,23,2658
Hotel Lagoon 24,Delhi,"Pet Friendly, Gym, Spa, Airport Shuttle, Bar",3.33,Deluxe,4,2.8,11:00 AM,1:00 PM,Saturday,1,0,42,4328
Hotel Crimson 12,Kolkata,"Bar, Pet Friendly, Spa, Parking",10.92,Standard,3,3.2,1:00 PM,11:00 AM,Sunday,1,1,43,3851
Hotel Crimson 29,Pune,"Free WiFi, Pet Friendly",19.71,Standard,4,4.5,11:00 AM,2:00 PM,Wednesday,1,0,92,4967
Hotel Lagoon 18,Bangalore,"Free WiFi, Airport Shuttle, Gym, Spa",16.04,Deluxe,4,3.2,1:00 PM,2:00 PM,Wednesday,0,1,27,4124
Hotel Oasis 40,Bangalore,"Business Center, Gym, Free WiFi",3.62,Standard,2,3.3,1:00 PM,1:00 PM,Wednesday,0,0,25,2374
Hotel Lagoon 50,Jaipur,"Parking, Business Center, Gym, Pool, Bar",16.72,Executive,3,2.8,1:00 PM,11:00 AM,Saturday,1,0,39,2782
Hotel Bliss 97,Delhi,"Restaurant, Free WiFi",7.66,Presidential Suite,2,3.2,2:00 PM,2:00 PM,Tuesday,1,0,99,2170
Hotel Moonlight 82,Ahmedabad,"Business Center, Airport Shuttle, Spa, Gym, Free WiFi",8.96,Suite,5,4.0,1:00 PM,1:00 PM,Sunday,0,1,60,5981
Hotel Crimson 65,Ahmedabad,"Gym, Bar, Pet Friendly",1.4,Deluxe,4,2.8,12:00 PM,12:00 PM,Monday,1,1,58,4371
Hotel Sapphire 39,Delhi,"Spa, Business Center",15.61,Standard,5,4.0,2:00 PM,12:00 PM,Sunday,0,1,82,5227
Hotel Lagoon 55,Kolkata,"Gym, Pool, Airport Shuttle, Bar",1.51,Suite,4,4.9,2:00 PM,11:00 AM,Monday,0,1,20,4546
Hotel Vista 43,Goa,"Business Center, Pool, Bar, Parking, Restaurant",7.17,Standard,3,2.7,11:00 AM,12:00 PM,Saturday,0,1,73,3674
Hotel Horizon 27,Kolkata,"Restaurant, Pet Friendly, Free WiFi, Bar, Spa",2.52,Standard,4,3.5,2:00 PM,12:00 PM,Thursday,0,1,98,4901
Hotel Lagoon 39,Kolkata,"Free WiFi, Restaurant, Bar, Gym",5.76,Suite,5,3.1,11:00 AM,11:00 AM,Thursday,0,0,25,5925
Hotel Crimson 46,Hyderabad,"Business Center, Free WiFi, Bar, Parking, Pet Friendly",14.34,Suite,5,3.1,2:00 PM,11:00 AM,Saturday,1,1,37,4903
Hotel Euphoria 40,Hyderabad,"Pet Friendly, Gym",9.22,Executive,3,3.1,12:00 PM,1:00 PM,Saturday,0,1,73,3260
Hotel Vista 30,Ahmedabad,"Spa, Free WiFi, Bar",12.7,Deluxe,4,2.6,11:00 AM,12:00 PM,Sunday,1,0,43,4654
Hotel Regency 28,Bangalore,"Parking, Bar, Restaurant, Gym",3.89,Executive,5,3.1,11:00 AM,12:00 PM,Wednesday,0,1,68,5176
Hotel Emerald 22,Goa,"Free WiFi, Pool, Parking",23.42,Suite,4,2.7,1:00 PM,12:00 PM,Sunday,1,1,45,4304
Hotel Heritage 38,Chennai,"Airport Shuttle, Parking, Business Center, Gym, Restaurant",17.0,Presidential Suite,4,3.3,2:00 PM,11:00 AM,Monday,1,0,67,4672
Hotel Regency 39,Hyderabad,"Gym, Spa, Airport Shuttle",20.42,Standard,4,4.7,2:00 PM,1:00 PM,Saturday,0,1,48,4068
Hotel Plaza 8,Chennai,"Business Center, Pool, Restaurant",19.88,Executive,4,4.7,1:00 PM,2:00 PM,Thursday,1,1,22,4261
Hotel Crimson 45,Pune,"Business Center, Parking",19.35,Suite,5,3.9,2:00 PM,11:00 AM,Sunday,1,1,46,5207
Hotel Regency 36,Kolkata,"Business Center, Restaurant, Gym, Parking",12.06,Deluxe,4,3.1,1:00 PM,12:00 PM,Friday,1,0,24,4709
Hotel Regency 5,Jaipur,"Spa, Airport Shuttle, Bar",19.51,Deluxe,3,4.8,12:00 PM,11:00 AM,Wednesday,0,1,77,3206
Hotel Palm 24,Bangalore,"Bar, Restaurant",20.46,Standard,4,3.0,11:00 AM,1:00 PM,Thursday,1,1,38,4068
Hotel Crimson 87,Jaipur,"Free WiFi, Parking, Restaurant",21.18,Presidential Suite,4,3.1,1:00 PM,11:00 AM,Friday,0,1,97,3736
Hotel Plaza 83,Delhi,"Gym, Spa, Pool, Pet Friendly",20.26,Suite,5,4.1,1:00 PM,11:00 AM,Wednesday,0,1,79,5455
Hotel Palm 17,Jaipur,"Free WiFi, Airport Shuttle, Gym, Pet Friendly",18.17,Executive,5,4.4,1:00 PM,11:00 AM,Thursday,1,0,76,5530
Hotel Palm 54,Jaipur,"Pet Friendly, Free WiFi, Airport Shuttle",0.72,Executive,4,2.5,12:00 PM,12:00 PM,Friday,0,0,24,4493
